,,Sex,,,Key age groups,,,,,,,,
Location,Parishes,Male,Female,Total,Age 0-4,Age 6-12,Age 13-18,Age 6-18,Age 14-64,Age 18-30,Age 18+,Age 65+,Age 80+
RUBAGA DIVISION,BUSEGA,"19,178","16,740","35,918","4,690","5,355","4,720","10,075","23,541","10,860","21,124",724,157
RUBAGA DIVISION,KABOWA,"19,280","15,459","34,739","4,406","5,041","4,400","9,441","23,139","10,763","20,896",701,172
RUBAGA DIVISION,KASUBI,"30,888","23,476","54,364","6,913","7,472","6,591","14,063","36,769","18,090","33,317",974,218
RUBAGA DIVISION,LUBYA,"37,967","33,020","70,987","9,748","10,950","9,378","20,328","45,873","21,255","40,796","1,154",257
RUBAGA DIVISION,LUNGUJJA,"29,047","12,713","41,760","5,000","6,677","5,526","12,203","26,855","11,746","24,442","1,219",293
RUBAGA DIVISION,MUTUNDWE,"18,576","19,106","37,682","4,759","5,020","4,721","9,741","25,730","12,338","23,232",662,171
RUBAGA DIVISION,NAJJANANKUMBI I,"8,130","5,979","14,109","1,531","1,976","1,697","3,673","9,653","4,294","8,921",390,94
RUBAGA DIVISION,NAJJANANKUMBI II,"7,349","5,211","12,560","1,355","1,820","1,564","3,384","8,603","3,813","7,876",291,67
RUBAGA DIVISION,NAKULABYE,"12,221","9,245","21,466","2,294","2,533","2,526","5,059","15,539","7,820","14,231",359,77
RUBAGA DIVISION,NAMIREMBE,"10,949","5,606","16,555","1,552","2,317","2,010","4,327","11,582","5,487","10,735",464,103
RUBAGA DIVISION,NATEETE,"11,563","10,900","22,463","2,597","3,054","2,989","6,043","15,408","7,425","13,876",433,109
RUBAGA DIVISION,NDEEBA,"11,785","6,619","18,404","1,739","2,070","2,010","4,080","13,567","6,773","12,677",397,156
RUBAGA DIVISION,RUBAGA,"17,001","12,392","29,393","3,134","3,919","3,619","7,538","20,295","9,640","18,714",812,224
KAMPALA CENTRAL DIVISION,BUKESA,"5,355","4,083","9,438",768,983,"1,057","2,040","7,175","3,677","6,701",219,45
KAMPALA CENTRAL DIVISION,CIVIC CENTRE,"1,289",558,"1,847",133,166,169,335,"1,435",597,"1,382",52,11
KAMPALA CENTRAL DIVISION,INDUSTRIAL AREA,"2,077","1,492","3,569",380,343,273,616,"2,698","1,378","2,578",57,16
KAMPALA CENTRAL DIVISION,KAGUGUBE,"4,128","2,771","6,899",518,687,764,"1,451","5,353","2,804","4,982",122,22
KAMPALA CENTRAL DIVISION,KAMWOKYA I,"1,091",727,"1,818",143,173,146,319,"1,389",606,"1,357",59,11
KAMPALA CENTRAL DIVISION,KAMWOKYA II,"8,126","7,894","16,020","1,722","1,978","1,987","3,965","11,516","5,217","10,389",191,34
KAMPALA CENTRAL DIVISION,KISENYI I,"1,150",444,"1,594",101,127,144,271,"1,298",660,"1,229",28,3
KAMPALA CENTRAL DIVISION,KISENYI II,"2,812","1,707","4,519",397,675,657,"1,332","3,164","1,447","2,822",90,17
