periodid,periodname,periodcode,perioddescription,105-CD12. Pneumonia,105-CD13. Severe Pneumonia,108-CD06b. Pneumonia  - Deaths,105-CD11. Cough or cold  - No Pneumonia
202001,Jan-20,202001,,1403,298,51,21583
202002,Feb-20,202002,,1672,355,27,23798
202003,Mar-20,202003,,2465,565,28,26223
202004,Apr-20,202004,,650,159,32,12825
202005,May-20,202005,,1074,172,33,12368
202006,Jun-20,202006,,1528,276,39,18228
202007,Jul-20,202007,,803,241,40,15029
202008,Aug-20,202008,,1073,321,14,17564
202009,Sep-20,202009,,1506,361,20,18182
202010,Oct-20,202010,,1205,281,14,18692
202011,Nov-20,202011,,1658,409,38,22262
202012,Dec-20,202012,,1828,304,25,23726
202101,Jan-21,202101,,1721,599,35,21217
202102,Feb-21,202102,,1351,466,45,19535
202103,Mar-21,202103,,1628,364,8,22562
202104,Apr-21,202104,,2277,468,33,25977
202105,May-21,202105,,3532,1328,45,31921
202106,Jun-21,202106,,4119,1620,65,31244
202107,Jul-21,202107,,1563,634,36,14604
202108,Aug-21,202108,,1495,356,31,19220
202109,Sep-21,202109,,1660,353,33,18828
202110,Oct-21,202110,,1991,256,19,18121
202111,Nov-21,202111,,2327,491,31,21104
202112,Dec-21,202112,,2269,404,26,29086
202201,Jan-22,202201,,2535,553,59,28440
202202,Feb-22,202202,,3838,554,28,34275
202203,Mar-22,202203,,3571,387,24,39249
202204,Apr-22,202204,,2668,235,37,30247
202205,May-22,202205,,2333,301,53,30444
202206,Jun-22,202206,,2899,335,64,36349
202207,Jul-22,202207,,2424,287,50,30021
202208,Aug-22,202208,,2509,438,70,26434
202209,Sep-22,202209,,1707,327,42,22710
202210,Oct-22,202210,,2116,560,25,26451
202211,Nov-22,202211,,2164,375,51,28043
202212,Dec-22,202212,,1887,267,42,23740
202301,Jan-23,202301,,1567,242,32,24050
202302,Feb-23,202302,,1454,205,41,22498
202303,Mar-23,202303,,1758,345,42,29349
202304,Apr-23,202304,,2654,416,52,28829
202305,May-23,202305,,2414,272,54,29059
202306,Jun-23,202306,,1432,258,38,25956
202307,Jul-23,202307,,1593,442,37,28265
202308,Aug-23,202308,,2164,211,42,27379
202309,Sep-23,202309,,1486,302,32,22234
202310,Oct-23,202310,,2245,285,31,25003
202311,Nov-23,202311,,1826,404,64,28847
202312,Dec-23,202312,,2142,257,30,27720
202401,Jan-24,202401,,1413,484,34,25584
202402,Feb-24,202402,,1762,225,30,23097
202403,Mar-24,202403,,2022,569,38,24756
202404,Apr-24,202404,,2185,629,35,27611
202405,May-24,202405,,1784,462,50,22941
202406,Jun-24,202406,,1981,265,70,26118
202407,Jul-24,202407,,3129,472,50,32066
202408,Aug-24,202408,,1915,238,48,32018
202409,Sep-24,202409,,2032,234,49,22913
202410,Oct-24,202410,,2140,523,47,26815
202411,Nov-24,202411,,2144,413,36,21900
202412,Dec-24,202412,,1880,423,95,21171
