epi_year,epi_week,epi_week_label,Avg_Temp(C),AvgWindspeed(m/s),AvgPrecipitation(mm/day),AvgRelative_Humidity(%)
2020,1,2020-W1,23.17,2.08,2.52,72.38
2020,2,2020-W2,22.30,2.69,12.99,75.43
2020,3,2020-W3,22.47,2.18,14.48,73.46
2020,4,2020-W4,22.23,3.01,5.51,71.92
2020,5,2020-W5,21.24,1.91,66.83,85.09
2020,6,2020-W6,22.00,2.00,86.25,79.57
2020,7,2020-W7,23.53,2.42,1.91,70.52
2020,8,2020-W8,24.22,2.08,15.50,74.69
2020,9,2020-W9,23.23,1.91,24.74,77.88
2020,10,2020-W10,23.09,2.19,34.51,79.61
2020,11,2020-W11,22.31,2.09,44.99,85.83
2020,12,2020-W12,22.50,2.19,67.69,82.67
2020,13,2020-W13,21.72,2.16,124.45,85.30
2020,14,2020-W14,23.30,2.29,31.92,79.70
2020,15,2020-W15,22.54,2.39,31.17,83.93
2020,16,2020-W16,21.50,2.09,39.38,86.89
2020,17,2020-W17,21.60,1.86,21.43,84.62
2020,18,2020-W18,20.85,2.72,102.65,87.27
2020,19,2020-W19,21.52,2.87,43.53,87.18
2020,20,2020-W20,21.14,2.58,29.81,88.30
2020,21,2020-W21,20.72,3.37,21.73,86.00
2020,22,2020-W22,21.41,3.11,15.90,84.78
2020,23,2020-W23,20.92,3.80,9.61,82.66
2020,24,2020-W24,20.62,3.31,28.50,85.47
2020,25,2020-W25,20.06,4.01,7.91,82.16
2020,26,2020-W26,20.41,3.06,18.75,82.61
2020,27,2020-W27,20.57,4.01,3.85,79.73
2020,28,2020-W28,20.37,3.09,13.92,81.50
2020,29,2020-W29,19.45,4.27,12.86,79.54
2020,30,2020-W30,19.81,3.89,1.58,78.78
2020,31,2020-W31,20.62,3.50,8.79,77.59
2020,32,2020-W32,20.90,2.99,6.47,75.30
2020,33,2020-W33,21.50,1.85,16.58,80.18
2020,34,2020-W34,21.86,2.78,33.80,78.12
2020,35,2020-W35,21.82,2.29,13.95,74.88
2020,36,2020-W36,21.74,1.88,8.19,75.85
2020,37,2020-W37,21.68,2.51,36.68,76.29
2020,38,2020-W38,22.73,1.72,32.01,72.79
2020,39,2020-W39,21.59,2.11,29.07,80.15
2020,40,2020-W40,21.67,1.82,18.18,81.27
2020,41,2020-W41,21.88,1.86,26.75,78.31
2020,42,2020-W42,21.36,1.79,32.54,81.48
2020,43,2020-W43,21.16,1.86,35.51,84.59
2020,44,2020-W44,21.13,1.97,43.96,83.61
2020,45,2020-W45,21.82,1.80,63.89,81.13
2020,46,2020-W46,21.55,2.05,35.36,82.62
2020,47,2020-W47,22.39,2.10,16.94,77.38
2020,48,2020-W48,21.11,1.76,133.74,85.08
2020,49,2020-W49,21.71,2.17,8.34,77.60
2020,50,2020-W50,22.42,1.96,68.34,73.66
2020,51,2020-W51,21.80,2.47,3.52,70.72
2020,52,2020-W52,22.43,2.14,27.18,74.64
2020,53,2020-W53,21.75,2.12,64.84,75.80
2021,1,2021-W1,21.95,2.52,4.14,74.12
2021,2,2021-W2,22.09,2.19,50.73,76.02
2021,3,2021-W3,22.80,2.36,45.84,76.70
2021,4,2021-W4,22.59,2.17,8.60,70.99
2021,5,2021-W5,22.72,2.31,8.38,66.36
2021,6,2021-W6,22.92,2.33,10.40,75.30
2021,7,2021-W7,22.76,2.12,23.11,77.43
2021,8,2021-W8,22.55,2.49,4.34,73.74
2021,9,2021-W9,23.61,2.49,7.85,73.44
2021,10,2021-W10,24.12,2.86,2.49,67.99
2021,11,2021-W11,22.87,1.82,26.09,77.35
2021,12,2021-W12,22.45,2.53,14.42,77.12
2021,13,2021-W13,21.97,2.32,68.26,82.37
2021,14,2021-W14,21.71,2.47,36.05,83.65
2021,15,2021-W15,21.47,2.31,28.76,85.38
2021,16,2021-W16,21.29,2.30,60.33,86.06
2021,17,2021-W17,21.92,1.85,37.76,83.02
2021,18,2021-W18,20.75,1.97,49.09,87.11
2021,19,2021-W19,21.21,2.10,18.59,85.33
2021,20,2021-W20,21.58,2.78,10.70,84.60
2021,21,2021-W21,21.66,3.20,2.81,79.71
2021,22,2021-W22,21.62,2.69,5.95,80.86
2021,23,2021-W23,21.35,3.86,1.91,77.33
2021,24,2021-W24,21.00,2.93,5.39,80.39
2021,25,2021-W25,20.72,3.58,2.35,76.01
2021,26,2021-W26,21.16,3.70,4.67,74.20
2021,27,2021-W27,20.97,3.82,2.72,72.15
2021,28,2021-W28,21.31,4.13,4.10,71.98
2021,29,2021-W29,21.39,4.44,0.02,67.33
2021,30,2021-W30,21.49,4.68,0.54,66.72
2021,31,2021-W31,23.09,2.65,4.03,66.79
2021,32,2021-W32,21.55,2.69,13.90,77.50
2021,33,2021-W33,22.76,2.83,2.60,69.15
2021,34,2021-W34,23.84,2.89,0.71,60.09
2021,35,2021-W35,22.26,2.07,19.84,74.66
2021,36,2021-W36,21.97,2.57,17.46,75.76
2021,37,2021-W37,22.74,2.18,36.31,72.74
2021,38,2021-W38,21.87,2.40,13.17,75.80
2021,39,2021-W39,22.92,1.86,18.03,73.14
2021,40,2021-W40,23.09,1.81,8.00,72.06
2021,41,2021-W41,23.10,1.96,16.71,72.39
2021,42,2021-W42,22.71,2.17,39.38,77.06
2021,43,2021-W43,23.28,2.22,28.23,73.70
2021,44,2021-W44,22.17,1.87,77.13,78.86
2021,45,2021-W45,22.31,1.81,13.24,78.14
2021,46,2021-W46,22.64,2.08,27.09,76.20
2021,47,2021-W47,21.92,2.28,93.25,80.96
2021,48,2021-W48,21.91,2.05,15.68,80.05
2021,49,2021-W49,22.34,2.12,27.10,75.07
2021,50,2021-W50,22.80,2.12,21.26,75.02
2021,51,2021-W51,23.71,2.04,16.95,73.47
2021,52,2021-W52,22.64,1.88,20.50,75.17
2022,1,2022-W1,24.23,2.04,0.41,64.89
2022,2,2022-W2,23.81,2.32,12.47,63.00
2022,3,2022-W3,22.03,2.30,30.50,74.96
2022,4,2022-W4,23.94,2.62,3.13,61.28
2022,5,2022-W5,22.87,2.02,19.70,68.54
2022,6,2022-W6,23.71,2.16,7.79,67.95
