year,week,epi_week_label,weekly_pm25_avg,weekly_temp_avg,weekly_humidity_avg,readings_per_week
2020,1,2020-W1,43.77,24.45,72.79,98.29
2020,2,2020-W2,68.62,23.01,75.92,129.25
2020,3,2020-W3,72.99,24.49,70.07,114.00
2020,4,2020-W4,90.92,24.11,54.71,144.14
2020,5,2020-W5,35.29,21.79,83.86,115.40
2020,6,2020-W6,44.04,22.47,81.82,139.10
2020,7,2020-W7,61.22,24.49,68.12,149.89
2020,8,2020-W8,40.34,24.66,76.43,134.67
2020,9,2020-W9,45.60,24.15,78.90,133.00
2020,10,2020-W10,47.95,23.45,83.80,125.70
2020,11,2020-W11,30.23,22.73,86.30,118.22
2020,12,2020-W12,35.02,23.23,82.51,118.50
2020,13,2020-W13,20.99,22.65,83.83,131.86
2020,14,2020-W14,24.37,24.12,82.00,129.50
2020,15,2020-W15,21.52,24.61,79.42,152.50
2020,16,2020-W16,22.42,22.60,83.66,117.00
2020,17,2020-W17,29.28,21.97,87.11,100.14
2020,18,2020-W18,19.02,22.78,83.87,135.71
2020,19,2020-W19,27.09,22.63,86.37,137.29
2020,20,2020-W20,22.53,23.19,83.95,152.38
2020,21,2020-W21,27.53,22.01,86.09,154.00
2020,22,2020-W22,40.38,23.12,83.07,146.22
2020,23,2020-W23,39.70,22.96,79.59,145.40
2020,24,2020-W24,36.51,21.65,85.08,153.00
2020,25,2020-W25,40.08,22.46,76.75,144.90
2020,26,2020-W26,42.87,22.65,78.59,148.10
2020,27,2020-W27,48.79,23.09,73.76,154.70
2020,28,2020-W28,51.85,21.44,84.46,150.90
2020,29,2020-W29,43.39,21.20,78.85,148.10
2020,30,2020-W30,63.59,22.04,77.41,152.50
2020,31,2020-W31,54.84,22.45,78.37,151.30
2020,32,2020-W32,47.36,22.15,76.36,154.00
2020,33,2020-W33,49.14,22.49,80.36,140.20
2020,34,2020-W34,44.84,22.42,82.64,145.67
2020,35,2020-W35,45.09,21.58,83.19,139.22
2020,36,2020-W36,39.93,21.91,81.64,123.70
2020,37,2020-W37,43.72,21.23,85.57,146.40
2020,38,2020-W38,45.25,22.86,79.42,153.30
2020,39,2020-W39,35.47,22.07,82.08,120.20
2020,40,2020-W40,31.83,22.59,79.70,139.40
2020,41,2020-W41,33.66,22.21,79.20,138.10
2020,42,2020-W42,37.30,21.39,85.97,130.50
2020,43,2020-W43,29.64,22.12,84.80,115.10
2020,44,2020-W44,29.69,21.55,85.48,137.00
2020,45,2020-W45,29.20,22.82,80.75,130.78
2020,46,2020-W46,28.41,21.81,84.95,141.22
2020,47,2020-W47,40.51,21.27,87.32,136.22
2020,48,2020-W48,35.04,21.64,85.95,156.88
2020,49,2020-W49,49.16,21.59,85.20,156.75
2020,50,2020-W50,40.64,22.43,80.74,155.75
2020,51,2020-W51,44.91,22.63,77.46,158.00
2020,52,2020-W52,32.42,22.30,83.39,156.00
2020,53,2020-W53,42.32,22.74,80.39,88.75
2021,1,2021-W1,39.68,22.35,82.32,135.11
2021,2,2021-W2,50.64,21.91,87.91,58.56
2021,3,2021-W3,49.32,22.07,83.93,122.11
2021,4,2021-W4,34.84,23.05,79.49,137.56
2021,5,2021-W5,47.99,22.63,75.60,131.00
2021,6,2021-W6,52.04,22.54,81.38,127.13
2021,7,2021-W7,54.45,23.19,73.06,125.44
2021,8,2021-W8,59.13,23.58,76.14,110.56
2021,9,2021-W9,39.87,24.77,74.40,111.11
2021,10,2021-W10,29.20,24.12,75.72,142.86
2021,11,2021-W11,28.04,22.51,80.05,143.00
2021,12,2021-W12,33.56,22.90,80.34,141.71
2021,13,2021-W13,26.77,22.14,82.49,140.71
2021,14,2021-W14,18.81,23.42,76.85,137.29
2021,15,2021-W15,21.39,22.44,82.02,135.43
2021,16,2021-W16,19.35,22.31,83.57,125.88
