date,pm2_5,avgtemp,avghumidity,avgtemp_sat,humidity_sat,windspeed,precip,TB,ILI,ILD_deaths,SARI,SARI_deaths,pneumonia,severe_pneumonia,cough_cold,year,month
2020-01-01,69.075,24.015,68.3725,22.5425,73.2975,2.49,8.875,114.0,0.0,0.0,135,1.0,1403,298,21583,2020,1
2020-02-01,45.2225,23.3525,77.5575,22.7475,77.4675,2.1025,42.6225,1083.0,135.0,0.0,598,3.0,1672,355,23798,2020,2
2020-03-01,35.958000000000006,23.241999999999997,83.06800000000001,22.57,82.258,2.1079999999999997,59.275999999999996,1650.0,202.0,3.0,1155,2.0,2465,565,26223,2020,3
2020-04-01,24.3975,23.325,83.0475,22.235,83.785,2.1575,30.975,979.0,70.0,0.0,411,4.0,650,159,12825,2020,4
2020-05-01,27.310000000000002,22.746000000000002,84.67,21.128,86.70599999999999,2.93,42.724000000000004,1540.0,3592.0,0.0,877,2.0,1074,172,12368,2020,5
2020-06-01,39.79,22.43,80.0025,20.5025,83.225,3.545,16.1925,1406.0,109.0,0.0,546,10.0,1528,276,18228,2020,6
2020-07-01,51.905,21.9425,78.62,20.05,79.8875,3.815,8.0525,1620.0,61.0,0.0,421,1.0,803,241,15029,2020,7
2020-08-01,48.254000000000005,22.218,80.184,21.34,77.214,2.682,15.917999999999997,1955.0,312.0,0.0,671,0.0,1073,321,17564,2020,8
2020-09-01,41.0925,22.0175,82.1775,21.935,76.27000000000001,2.0549999999999997,26.487499999999997,1626.0,51.0,0.0,594,1.0,1506,361,18182,2020,9
2020-10-01,33.1075,22.0775,82.4175,21.5175,81.4125,1.8325,28.244999999999997,1624.0,55.0,0.0,684,2.0,1205,281,18692,2020,10
2020-11-01,32.57,21.818,84.89,21.6,81.964,1.936,58.778,2174.0,175.0,6775.0,733,9.0,1658,409,22262,2020,11
2020-12-01,41.7825,22.2375,81.69749999999999,22.09,74.155,2.185,26.845000000000002,1400.0,149.0,20.0,582,1.0,1828,304,23726,2020,12
2021-01-01,43.36,22.424,82.80799999999999,22.236,74.726,2.272,34.83,1908.0,48.0,2.0,729,3.0,1721,599,21217,2021,1
2021-02-01,53.4025,22.985,76.545,22.7375,73.2075,2.3125,11.557500000000001,2054.0,63.0,5.0,412,2.0,1351,466,19535,2021,2
2021-03-01,32.667500000000004,23.575,77.6275,23.2625,73.975,2.425,12.7125,2403.0,51.0,0.0,435,1.0,1628,364,22562,2021,3
2021-04-01,21.58,22.5775,81.23249999999999,21.61,84.36500000000001,2.35,48.35,1899.0,54.0,13.0,543,16.0,2277,468,25977,2021,4
