epi_year,epi_week,epi_week_label_x,avgtemp_sat,windspeed,precip,humidity_sat,epi_week_label_y,pm2_5,avgtemp,avghumidity,readings_per_week,date,ILI,ILD_deaths,pneumonia_u5,Severe pneumonia under 5 deaths,SARI,SARI_deaths,TB
2020,1,2020-W1,23.17,2.08,2.52,72.38,2020-W1,43.77,24.45,72.79,98.29,2020-01-05,,,16,,1,1.0,7.0
2020,2,2020-W2,22.3,2.69,12.99,75.43,2020-W2,68.62,23.01,75.92,129.25,2020-01-12,,,15,,44,,30.0
2020,3,2020-W3,22.47,2.18,14.48,73.46,2020-W3,72.99,24.49,70.07,114.0,2020-01-19,,,4,,11,,40.0
2020,4,2020-W4,22.23,3.01,5.51,71.92,2020-W4,90.92,24.11,54.71,144.14,2020-01-26,,,16,,79,,37.0
2020,5,2020-W5,21.24,1.91,66.83,85.09,2020-W5,35.29,21.79,83.86,115.4,2020-02-02,37.0,,39,,102,,343.0
2020,6,2020-W6,22.0,2.0,86.25,79.57,2020-W6,44.04,22.47,81.82,139.1,2020-02-09,14.0,,38,,131,2.0,173.0
2020,7,2020-W7,23.53,2.42,1.91,70.52,2020-W7,61.22,24.49,68.12,149.89,2020-02-16,32.0,,85,1.0,198,1.0,302.0
2020,8,2020-W8,24.22,2.08,15.5,74.69,2020-W8,40.34,24.66,76.43,134.67,2020-02-23,52.0,,78,9.0,167,,265.0
2020,9,2020-W9,23.23,1.91,24.74,77.88,2020-W9,45.6,24.15,78.9,133.0,2020-03-01,47.0,,112,,254,,340.0
2020,10,2020-W10,23.09,2.19,34.51,79.61,2020-W10,47.95,23.45,83.8,125.7,2020-03-08,7.0,3.0,125,4.0,258,1.0,338.0
2020,11,2020-W11,22.31,2.09,44.99,85.83,2020-W11,30.23,22.73,86.3,118.22,2020-03-15,82.0,,99,2.0,273,1.0,333.0
2020,12,2020-W12,22.5,2.19,67.69,82.67,2020-W12,35.02,23.23,82.51,118.5,2020-03-22,49.0,,142,8.0,189,,381.0
2020,13,2020-W13,21.72,2.16,124.45,85.3,2020-W13,20.99,22.65,83.83,131.86,2020-03-29,17.0,,107,2.0,181,,258.0
2020,14,2020-W14,23.3,2.29,31.92,79.7,2020-W14,24.37,24.12,82.0,129.5,2020-04-05,1.0,,73,,119,2.0,219.0
2020,15,2020-W15,22.54,2.39,31.17,83.93,2020-W15,21.52,24.61,79.42,152.5,2020-04-12,18.0,,74,1.0,111,1.0,154.0
2020,16,2020-W16,21.5,2.09,39.38,86.89,2020-W16,22.42,22.6,83.66,117.0,2020-04-19,16.0,,35,4.0,77,,207.0
2020,17,2020-W17,21.6,1.86,21.43,84.62,2020-W17,29.28,21.97,87.11,100.14,2020-04-26,35.0,,57,2.0,104,1.0,399.0
2020,18,2020-W18,20.85,2.72,102.65,87.27,2020-W18,19.02,22.78,83.87,135.71,2020-05-03,3262.0,,40,1.0,193,,270.0
2020,19,2020-W19,21.52,2.87,43.53,87.18,2020-W19,27.09,22.63,86.37,137.29,2020-05-10,65.0,,58,,207,,264.0
2020,20,2020-W20,21.14,2.58,29.81,88.3,2020-W20,22.53,23.19,83.95,152.38,2020-05-17,180.0,,53,12.0,196,2.0,331.0
2020,21,2020-W21,20.72,3.37,21.73,86.0,2020-W21,27.53,22.01,86.09,154.0,2020-05-24,42.0,,57,2.0,152,,356.0
2020,22,2020-W22,21.41,3.11,15.9,84.78,2020-W22,40.38,23.12,83.07,146.22,2020-05-31,43.0,,68,1.0,129,,319.0
2020,23,2020-W23,20.92,3.8,9.61,82.66,2020-W23,39.7,22.96,79.59,145.4,2020-06-07,18.0,,76,1.0,88,,268.0
2020,24,2020-W24,20.62,3.31,28.5,85.47,2020-W24,36.51,21.65,85.08,153.0,2020-06-14,7.0,,86,,120,,254.0
2020,25,2020-W25,20.06,4.01,7.91,82.16,2020-W25,40.08,22.46,76.75,144.9,2020-06-21,40.0,,88,2.0,143,10.0,447.0
2020,26,2020-W26,20.41,3.06,18.75,82.61,2020-W26,42.87,22.65,78.59,148.1,2020-06-28,44.0,,90,2.0,195,,437.0
2020,27,2020-W27,20.57,4.01,3.85,79.73,2020-W27,48.79,23.09,73.76,154.7,2020-07-05,2.0,,73,5.0,88,,364.0
2020,28,2020-W28,20.37,3.09,13.92,81.5,2020-W28,51.85,21.44,84.46,150.9,2020-07-12,43.0,,55,1.0,128,1.0,337.0
2020,29,2020-W29,19.45,4.27,12.86,79.54,2020-W29,43.39,21.2,78.85,148.1,2020-07-19,15.0,,57,1.0,71,,461.0
2020,30,2020-W30,19.81,3.89,1.58,78.78,2020-W30,63.59,22.04,77.41,152.5,2020-07-26,1.0,,67,11.0,134,,458.0
2020,31,2020-W31,20.62,3.5,8.79,77.59,2020-W31,54.84,22.45,78.37,151.3,2020-08-02,4.0,,87,,144,,367.0
2020,32,2020-W32,20.9,2.99,6.47,75.3,2020-W32,47.36,22.15,76.36,154.0,2020-08-09,8.0,,72,1.0,126,,388.0
2020,33,2020-W33,21.5,1.85,16.58,80.18,2020-W33,49.14,22.49,80.36,140.2,2020-08-16,12.0,,76,5.0,146,,429.0
2020,34,2020-W34,21.86,2.78,33.8,78.12,2020-W34,44.84,22.42,82.64,145.67,2020-08-23,270.0,,85,1.0,149,,381.0
2020,35,2020-W35,21.82,2.29,13.95,74.88,2020-W35,45.09,21.58,83.19,139.22,2020-08-30,18.0,,80,2.0,106,,390.0
2020,36,2020-W36,21.74,1.88,8.19,75.85,2020-W36,39.93,21.91,81.64,123.7,2020-09-06,7.0,,64,1.0,117,1.0,358.0
2020,37,2020-W37,21.68,2.51,36.68,76.29,2020-W37,43.72,21.23,85.57,146.4,2020-09-13,27.0,,78,3.0,107,,387.0
2020,38,2020-W38,22.73,1.72,32.01,72.79,2020-W38,45.25,22.86,79.42,153.3,2020-09-20,6.0,,75,,151,,453.0
2020,39,2020-W39,21.59,2.11,29.07,80.15,2020-W39,35.47,22.07,82.08,120.2,2020-09-27,11.0,,83,2.0,219,,428.0
2020,40,2020-W40,21.67,1.82,18.18,81.27,2020-W40,31.83,22.59,79.7,139.4,2020-10-04,5.0,,69,,151,,346.0
2020,41,2020-W41,21.88,1.86,26.75,78.31,2020-W41,33.66,22.21,79.2,138.1,2020-10-11,10.0,,68,1.0,146,,392.0
2020,42,2020-W42,21.36,1.79,32.54,81.48,2020-W42,37.3,21.39,85.97,130.5,2020-10-18,14.0,,56,2.0,135,1.0,449.0
2020,43,2020-W43,21.16,1.86,35.51,84.59,2020-W43,29.64,22.12,84.8,115.1,2020-10-25,26.0,,95,2.0,252,1.0,437.0
2020,44,2020-W44,21.13,1.97,43.96,83.61,2020-W44,29.69,21.55,85.48,137.0,2020-11-01,32.0,,90,1.0,169,8.0,438.0
2020,45,2020-W45,21.82,1.8,63.89,81.13,2020-W45,29.2,22.82,80.75,130.78,2020-11-08,35.0,,77,2.0,72,,363.0
2020,46,2020-W46,21.55,2.05,35.36,82.62,2020-W46,28.41,21.81,84.95,141.22,2020-11-15,39.0,,123,,117,1.0,451.0
2020,47,2020-W47,22.39,2.1,16.94,77.38,2020-W47,40.51,21.27,87.32,136.22,2020-11-22,36.0,,116,2.0,202,,466.0
2020,48,2020-W48,21.11,1.76,133.74,85.08,2020-W48,35.04,21.64,85.95,156.88,2020-11-29,33.0,6775.0,83,3.0,173,,456.0
2020,49,2020-W49,21.71,2.17,8.34,77.6,2020-W49,49.16,21.59,85.2,156.75,2020-12-06,17.0,,115,,113,,400.0
2020,50,2020-W50,22.42,1.96,68.34,73.66,2020-W50,40.64,22.43,80.74,155.75,2020-12-13,76.0,20.0,107,,143,,400.0
2020,51,2020-W51,21.8,2.47,3.52,70.72,2020-W51,44.91,22.63,77.46,158.0,2020-12-20,46.0,,94,1.0,94,1.0,383.0
2020,52,2020-W52,22.43,2.14,27.18,74.64,2020-W52,32.42,22.3,83.39,156.0,2020-12-27,10.0,,120,3.0,232,,217.0
2020,53,2020-W53,21.75,2.12,64.84,75.8,2020-W53,42.32,22.74,80.39,88.75,2021-01-03,17.0,,142,1.0,192,1.0,214.0
2021,1,2021-W1,21.95,2.52,4.14,74.12,2021-W1,39.68,22.35,82.32,135.11,2021-01-10,11.0,1.0,139,4.0,149,1.0,332.0
2021,2,2021-W2,22.09,2.19,50.73,76.02,2021-W2,50.64,21.91,87.91,58.56,2021-01-17,7.0,,127,1.0,106,,305.0
2021,3,2021-W3,22.8,2.36,45.84,76.7,2021-W3,49.32,22.07,83.93,122.11,2021-01-24,7.0,,132,2.0,127,,550.0
2021,4,2021-W4,22.59,2.17,8.6,70.99,2021-W4,34.84,23.05,79.49,137.56,2021-01-31,6.0,1.0,116,1.0,155,1.0,507.0
2021,5,2021-W5,22.72,2.31,8.38,66.36,2021-W5,47.99,22.63,75.6,131.0,2021-02-07,16.0,,140,5.0,97,2.0,429.0
2021,6,2021-W6,22.92,2.33,10.4,75.3,2021-W6,52.04,22.54,81.38,127.13,2021-02-14,11.0,5.0,113,2.0,97,,540.0
2021,7,2021-W7,22.76,2.12,23.11,77.43,2021-W7,54.45,23.19,73.06,125.44,2021-02-21,19.0,,137,2.0,137,,511.0
2021,8,2021-W8,22.55,2.49,4.34,73.74,2021-W8,59.13,23.58,76.14,110.56,2021-02-28,17.0,,101,1.0,81,,574.0
