Disease,Scenario,PM2.5 Reduction (%),Final PM2.5 (μg/m³),Cases Prevented,Cost Factor,Cost per Case Prevented ($)
TB,Traffic Control,25.0,29.46006048387097,11521.868987936832,2.5,216.97868658439444
TB,Green Spaces,15.0,33.388068548387096,7017.3393330945655,3.0,427.51245986518865
TB,Dust Control,20.0,31.424064516129036,9286.625530033465,4.0,430.7269618080084
TB,Combined,35.0,25.53205241935484,15892.262796597692,5.0,314.61850738275166
ILI,Traffic Control,25.0,29.46006048387097,6136.819384535618,2.5,407.3771514768442
ILI,Green Spaces,15.0,33.388068548387096,3737.6005656969614,3.0,802.6539881049545
ILI,Dust Control,20.0,31.424064516129036,4946.27595829292,4.0,808.6892105754036
ILI,Combined,35.0,25.53205241935484,8464.594285562938,5.0,590.695765363251
ILD_deaths,Traffic Control,25.0,29.46006048387097,2385.1310667930697,2.5,1048.1604280813706
ILD_deaths,Green Spaces,15.0,33.388068548387096,1452.6526961134869,3.0,2065.1873693047055
ILD_deaths,Dust Control,20.0,31.424064516129036,1922.4154588588794,4.0,2080.715685866544
ILD_deaths,Combined,35.0,25.53205241935484,3289.8421043921594,5.0,1519.8297794671255
pneumonia_u5,Traffic Control,25.0,29.46006048387097,2240.496055052055,2.5,1115.8243257616073
pneumonia_u5,Green Spaces,15.0,33.388068548387096,1364.5634323060738,3.0,2198.5053453543633
pneumonia_u5,Dust Control,20.0,31.424064516129036,1805.839650370077,4.0,2215.036090928819
pneumonia_u5,Combined,35.0,25.53205241935484,3090.3451635239926,5.0,1617.9422476867871
SARI,Traffic Control,25.0,29.46006048387097,3973.7141046571387,2.5,629.1343398534973
SARI,Green Spaces,15.0,33.388068548387096,2420.1716157576634,3.0,1239.5815158177593
SARI,Dust Control,20.0,31.424064516129036,3202.8132668405738,4.0,1248.9020329136497
SARI,Combined,35.0,25.53205241935484,5480.995218386559,5.0,912.2430873916818
SARI_deaths,Traffic Control,25.0,29.46006048387097,71.41656200923994,2.5,35005.88560503021
SARI_deaths,Green Spaces,15.0,33.388068548387096,43.495916343652674,3.0,68971.99213594192
SARI_deaths,Dust Control,20.0,31.424064516129036,57.56174356058056,4.0,69490.59831362162
SARI_deaths,Combined,35.0,25.53205241935484,98.50578692299382,5.0,50758.4392367599
